Width,Height,Area,Gesture
183,176,32208,0
183,176,32208,0
183,177,32391,0
185,178,32930,0
184,178,32752,0
185,178,32930,0
184,178,32752,0
184,179,32936,0
185,179,33115,0
184,179,32936,0
184,179,32936,0
182,177,32214,0
180,176,31680,0
180,176,31680,0
181,177,32037,0
181,179,32399,0
180,178,32040,0
180,179,32220,0
180,179,32220,0
180,178,32040,0
180,178,32040,0
180,178,32040,0
180,179,32220,0
178,179,31862,0
178,178,31684,0
179,179,32041,0
178,179,31862,0
178,179,31862,0
178,179,31862,0
178,179,31862,0
178,179,31862,0
178,181,32218,0
177,180,31860,0
177,179,31683,0
177,179,31683,0
177,179,31683,0
177,179,31683,0
177,180,31860,0
178,180,32040,0
177,179,31683,0
177,179,31683,0
177,180,31860,0
177,179,31683,0
176,180,31680,0
176,180,31680,0
176,180,31680,0
176,179,31504,0
177,180,31860,0
176,179,31504,0
176,179,31504,0
175,180,31500,0
176,180,31680,0
176,179,31504,0
174,178,30972,0
174,178,30972,0
174,178,30972,0
176,180,31680,0
181,180,32580,0
183,182,33306,0
183,182,33306,0
185,183,33855,0
187,187,34969,0
189,196,37044,0
187,196,36652,0
189,195,36855,0
189,194,36666,0
190,194,36860,0
189,193,36477,0
190,193,36670,0
188,191,35908,0
189,191,36099,0
188,190,35720,0
187,189,35343,0
188,189,35532,0
187,189,35343,0
187,188,35156,0
186,187,34782,0
186,186,34596,0
185,183,33855,0
186,183,34038,0
185,183,33855,0
186,183,34038,0
185,182,33670,0
185,182,33670,0
185,182,33670,0
185,182,33670,0
185,183,33855,0
186,183,34038,0
186,183,34038,0
186,183,34038,0
186,183,34038,0
186,182,33852,0
186,182,33852,0
185,182,33670,0
186,182,33852,0
187,183,34221,0
187,183,34221,0
187,183,34221,0
187,183,34221,0
186,184,34224,0
186,184,34224,0
186,184,34224,0
186,184,34224,0
186,184,34224,0
187,184,34408,0
186,184,34224,0
187,185,34595,0
186,184,34224,0
187,184,34408,0
187,185,34595,0
187,184,34408,0
187,185,34595,0
188,184,34592,0
187,184,34408,0
187,184,34408,0
186,184,34224,0
187,184,34408,0
186,184,34224,0
186,184,34224,0
188,185,34780,0
187,185,34595,0
188,185,34780,0
187,185,34595,0
189,185,34965,0
188,184,34592,0
189,185,34965,0
188,184,34592,0
188,184,34592,0
188,184,34592,0
188,184,34592,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
189,184,34776,0
190,183,34770,0
189,183,34587,0
190,183,34770,0
190,183,34770,0
190,183,34770,0
190,183,34770,0
190,183,34770,0
189,183,34587,0
190,183,34770,0
190,183,34770,0
189,183,34587,0
191,183,34953,0
191,184,35144,0
191,183,34953,0
190,184,34960,0
191,183,34953,0
190,184,34960,0
190,185,35150,0
190,185,35150,0
190,192,36480,0
190,192,36480,0
191,191,36481,0
191,190,36290,0
192,190,36480,0
193,190,36670,0
192,188,36096,0
192,188,36096,0
192,188,36096,0
192,187,35904,0
193,187,36091,0
193,187,36091,0
192,187,35904,0
192,187,35904,0
192,187,35904,0
193,188,36284,0
193,188,36284,0
193,188,36284,0
193,188,36284,0
192,187,35904,0
192,188,36096,0
192,187,35904,0
192,188,36096,0
192,187,35904,0
193,187,36091,0
193,187,36091,0
193,186,35898,0
192,187,35904,0
192,187,35904,0
192,187,35904,0
194,188,36472,0
193,187,36091,0
194,188,36472,0
194,188,36472,0
195,188,36660,0
193,188,36284,0
194,188,36472,0
194,188,36472,0
194,188,36472,0
194,188,36472,0
194,188,36472,0
194,188,36472,0
194,189,36666,0
194,189,36666,0
195,189,36855,0
195,189,36855,0
194,189,36666,0
194,189,36666,0
195,189,36855,0
195,189,36855,0
195,189,36855,0
195,189,36855,0
195,190,37050,0
195,190,37050,0
196,190,37240,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
194,190,36860,0
195,189,36855,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
196,190,37240,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
195,190,37050,0
196,190,37240,0
195,190,37050,0
195,190,37050,0
196,190,37240,0
195,190,37050,0
195,190,37050,0
194,189,36666,0
195,189,36855,0
195,189,36855,0
194,189,36666,0
196,189,37044,0
195,190,37050,0
196,190,37240,0
195,189,36855,0
195,190,37050,0
195,190,37050,0
196,190,37240,0
195,190,37050,0
196,190,37240,0
196,190,37240,0
194,189,36666,0
195,189,36855,0
196,190,37240,0
196,189,37044,0
196,189,37044,0
197,189,37233,0
197,190,37430,0
196,189,37044,0
196,189,37044,0
196,189,37044,0
196,189,37044,0
196,189,37044,0
198,191,37818,0
198,191,37818,0
198,191,37818,0
198,191,37818,0
198,192,38016,0
199,192,38208,0
199,191,38009,0
199,191,38009,0
199,191,38009,0
198,190,37620,0
198,190,37620,0
198,190,37620,0
