Width,Height,Area,Gesture
224,145,32480,1
222,145,32190,1
221,146,32266,1
224,144,32256,1
224,143,32032,1
221,143,31603,1
224,146,32704,1
222,142,31524,1
224,147,32928,1
223,145,32335,1
223,146,32558,1
225,146,32850,1
225,146,32850,1
225,146,32850,1
225,147,33075,1
223,145,32335,1
221,144,31824,1
222,143,31746,1
224,144,32256,1
225,146,32850,1
222,144,31968,1
223,142,31666,1
220,145,31900,1
223,146,32558,1
223,142,31666,1
221,145,32045,1
221,146,32266,1
220,144,31680,1
221,146,32266,1
219,145,31755,1
217,145,31465,1
221,143,31603,1
221,146,32266,1
221,147,32487,1
222,143,31746,1
223,144,32112,1
223,145,32335,1
225,146,32850,1
224,145,32480,1
225,145,32625,1
225,147,33075,1
227,147,33369,1
227,143,32461,1
226,147,33222,1
224,145,32480,1
226,145,32770,1
227,147,33369,1
227,147,33369,1
227,147,33369,1
225,146,32850,1
227,146,33142,1
227,146,33142,1
227,147,33369,1
228,147,33516,1
228,148,33744,1
227,148,33596,1
229,148,33892,1
229,148,33892,1
229,149,34121,1
228,148,33744,1
229,148,33892,1
230,148,34040,1
230,151,34730,1
231,150,34650,1
231,145,33495,1
230,149,34270,1
231,147,33957,1
230,148,34040,1
232,148,34336,1
231,150,34650,1
231,148,34188,1
232,150,34800,1
229,150,34350,1
231,147,33957,1
231,150,34650,1
231,150,34650,1
231,149,34419,1
232,148,34336,1
231,149,34419,1
232,149,34568,1
232,149,34568,1
234,150,35100,1
233,149,34717,1
234,149,34866,1
234,150,35100,1
231,148,34188,1
233,150,34950,1
230,147,33810,1
232,147,34104,1
231,151,34881,1
233,150,34950,1
233,150,34950,1
233,147,34251,1
233,149,34717,1
233,151,35183,1
233,149,34717,1
234,151,35334,1
233,151,35183,1
235,148,34780,1
234,150,35100,1
234,150,35100,1
234,150,35100,1
235,149,35015,1
234,150,35100,1
234,150,35100,1
235,151,35485,1
233,149,34717,1
236,151,35636,1
235,151,35485,1
235,149,35015,1
235,148,34780,1
235,150,35250,1
234,151,35334,1
235,151,35485,1
235,150,35250,1
235,151,35485,1
235,150,35250,1
235,152,35720,1
234,151,35334,1
236,151,35636,1
234,152,35568,1
234,149,34866,1
235,151,35485,1
235,149,35015,1
233,151,35183,1
233,150,34950,1
234,151,35334,1
235,154,36190,1
234,150,35100,1
235,149,35015,1
236,152,35872,1
234,151,35334,1
236,152,35872,1
236,150,35400,1
233,149,34717,1
234,151,35334,1
234,151,35334,1
234,152,35568,1
235,153,35955,1
235,152,35720,1
235,151,35485,1
233,152,35416,1
234,152,35568,1
234,148,34632,1
235,149,35015,1
234,151,35334,1
233,152,35416,1
234,151,35334,1
234,149,34866,1
235,150,35250,1
234,147,34398,1
233,150,34950,1
234,150,35100,1
233,150,34950,1
234,150,35100,1
235,151,35485,1
234,153,35802,1
233,147,34251,1
235,149,35015,1
235,152,35720,1
235,151,35485,1
235,150,35250,1
233,152,35416,1
235,151,35485,1
234,151,35334,1
234,150,35100,1
233,147,34251,1
233,150,34950,1
235,152,35720,1
234,152,35568,1
234,153,35802,1
233,150,34950,1
234,151,35334,1
235,151,35485,1
233,151,35183,1
233,149,34717,1
232,151,35032,1
232,151,35032,1
234,152,35568,1
234,150,35100,1
233,154,35882,1
233,152,35416,1
234,153,35802,1
235,152,35720,1
235,151,35485,1
234,151,35334,1
235,151,35485,1
236,150,35400,1
235,152,35720,1
237,151,35787,1
235,153,35955,1
236,154,36344,1
235,153,35955,1
235,150,35250,1
234,151,35334,1
235,152,35720,1
236,154,36344,1
236,152,35872,1
237,151,35787,1
235,152,35720,1
237,152,36024,1
236,151,35636,1
237,151,35787,1
237,151,35787,1
236,153,36108,1
235,153,35955,1
236,155,36580,1
235,152,35720,1
236,150,35400,1
237,150,35550,1
238,151,35938,1
235,151,35485,1
236,150,35400,1
236,152,35872,1
237,152,36024,1
236,152,35872,1
236,150,35400,1
237,149,35313,1
237,151,35787,1
237,150,35550,1
237,151,35787,1
236,150,35400,1
236,150,35400,1
236,150,35400,1
236,151,35636,1
235,149,35015,1
236,152,35872,1
238,149,35462,1
235,151,35485,1
237,152,36024,1
238,148,35224,1
237,152,36024,1
236,150,35400,1
237,150,35550,1
238,151,35938,1
238,151,35938,1
236,151,35636,1
236,152,35872,1
234,149,34866,1
235,150,35250,1
233,149,34717,1
233,151,35183,1
231,150,34650,1
232,149,34568,1
232,149,34568,1
234,149,34866,1
233,151,35183,1
231,150,34650,1
233,150,34950,1
233,150,34950,1
233,145,33785,1
232,147,34104,1
231,146,33726,1
233,147,34251,1
233,146,34018,1
232,148,34336,1
234,148,34632,1
234,148,34632,1
232,146,33872,1
232,148,34336,1
233,149,34717,1
234,146,34164,1
233,149,34717,1
234,149,34866,1
234,147,34398,1
233,148,34484,1
